stimulus_picture,words,sentences,nodes,edges,unconnected,average_total_degree,parallel_edges,bidirectional_edges,lsc,lcc,L1,L2,L3,sizes_connected_components,cc_size_mean,cc_size_med,cc_size_sd,cc_size_max,connected_components,max_degree_centrality,max_degree_node,max_indegree_centrality,max_outdegree_centrality,max_indegree_centrality_value,max_outdegree_centrality_value,mean_sentence_length,mean_confidence,std_confidence,density,diameter,average_shortest_path,clustering,consecutive_edges
10,156,13,21,27,3,2.5714285714285716,2,3,4,17,4,0,2,"[17, 2, 2]",7.0,2.0,7.0710678118654755,17,3,0.65,girl,"('girl', 0.35000000000000003)","('girl', 0.30000000000000004)",0.35000000000000003,0.30000000000000004,12.0,0.5097443762533165,0.2589277620203794,0.11904761904761904,6,2.8455882352941178,0.23739495798319327,9
13,183,5,17,20,2,2.3529411764705883,2,3,2,15,2,1,0,"[15, 2]",8.5,8.5,6.5,15,2,0.8125,they,"('they', 0.4375)","('they', 0.375)",0.4375,0.375,36.6,0.4105171012966642,0.13037374011032152,0.11764705882352941,7,3.0476190476190474,0.0,7
24,138,10,19,20,4,2.1052631578947367,1,2,1,9,2,0,0,"[9, 6, 2, 2]",4.75,4.0,2.947456530637899,9,4,0.3333333333333333,it,"('they', 0.16666666666666666)","('it', 0.2777777777777778)",0.16666666666666666,0.2777777777777778,13.8,0.5605126600434656,0.1899782788729629,0.1111111111111111,6,2.7222222222222223,0.0,4
30,185,12,25,20,14,1.6,1,1,1,7,1,0,0,"[7, 4, 4, 3, 3, 2, 2]",3.5714285714285716,3.0,1.5907898179514348,7,7,0.20833333333333331,this,"('sort', 0.08333333333333333)","('this', 0.16666666666666666)",0.08333333333333333,0.16666666666666666,15.416666666666666,0.44432229013083274,0.20818063512759888,0.06333333333333334,5,2.380952380952381,0.0,3
13,104,8,20,13,4,1.3,0,0,1,5,0,0,0,"[5, 4, 3, 2, 2, 2, 2]",2.857142857142857,2.0,1.1248582677159729,5,7,0.15789473684210525,men,"('men', 0.10526315789473684)","('men', 0.05263157894736842)",0.10526315789473684,0.05263157894736842,13.0,0.6515184928320907,0.15139728300273417,0.06842105263157895,3,1.8,0.0,0
24,121,13,12,14,5,2.3333333333333335,0,2,3,12,0,1,1,[12],12.0,12.0,0.0,12,1,0.7272727272727273,i,"('image', 0.2727272727272727)","('i', 0.6363636363636364)",0.2727272727272727,0.6363636363636364,9.307692307692308,0.3247825583826259,0.13665562502862263,0.19696969696969696,4,2.227272727272727,0.21507936507936506,4
13,101,14,16,11,4,1.375,0,0,4,4,0,0,0,"[4, 3, 3, 2, 2, 2]",2.6666666666666665,2.5,0.7453559924999298,4,6,0.13333333333333333,men,"('panama', 0.13333333333333333)","('men', 0.13333333333333333)",0.13333333333333333,0.13333333333333333,7.214285714285714,0.5606030625986085,0.204883311555223,0.09166666666666666,2,1.3333333333333333,0.0,0
24,33,2,6,6,1,2.0,1,0,1,6,0,0,0,[6],6.0,6.0,0.0,6,1,1.0,man,"('man', 0.4)","('man', 0.6000000000000001)",0.4,0.6000000000000001,16.5,0.4878501047146961,0.24064938575837252,0.3333333333333333,3,1.8666666666666667,0.0,2
10,157,15,26,26,2,2.0,3,1,1,16,2,0,0,"[16, 6, 2, 2]",6.5,4.0,5.722761571129799,16,4,0.32,i,"('it', 0.08)","('i', 0.24)",0.08,0.24,10.466666666666667,0.40116323591866504,0.25133387007663216,0.07076923076923076,6,2.8583333333333334,0.0,7
13,163,13,22,21,2,1.9090909090909092,1,2,1,12,2,0,0,"[12, 2, 2, 2, 2, 2]",3.6666666666666665,2.0,3.726779962499649,12,6,0.38095238095238093,i,"('artist', 0.19047619047619047)","('i', 0.2857142857142857)",0.19047619047619047,0.2857142857142857,12.538461538461538,0.4110162259895815,0.21162408625542936,0.08658008658008658,4,2.378787878787879,0.13055555555555556,4
